feature importance	biomolecule
0.001241729	ZSCAN5A
0.001240749	CYFIP2
0.001236495	METTL15
0.001232987	LY75
0.001229556	NUP133
0.00122835	GABARAPL2
0.001225599	HNRNPU
0.001221151	EIF2D
0.001220339	CACNA2D2
0.00121225	YPEL4
0.001209639	CRTC3
0.001204911	P0DP01
0.001203502	P2RY1
0.001203382	TFPI
0.001201663	SELP
0.001195686	DCAF4
0.001193802	BMP1
0.001190594	KLHL17
0.001189967	DTHD1
0.001187537	TOM1
0.001181577	SCRG1
0.001177647	PISD
0.001175936	CD72
0.00117593	CLTB
0.001172214	SLC35D2
0.001171776	USB1
0.001165537	IL17RD
0.001164811	AC 3:0_RT_1.408
0.001163307	SERF1B
0.001161656	ZNF749
0.001157556	ZNF266
0.001151056	SHOC1
0.001149083	LARP1B
0.001145028	PI3
0.001138745	WDR43
0.001133498	DISP1
0.001132982	TMTC4
0.001130837	PREX1
0.00112217	MGLL
0.001115498	C5AR1
0.001110121	NDUFS4
0.001109724	C21orf58
0.001107727	GPR82
0.001105369	STAT2
0.001104799	MOG
0.001099027	ZNF444
0.001093365	RIPK2
0.001091646	UPK3BL2
0.001086389	BMP2
0.001085973	SARM1
0.00108564	APH1A
0.001080854	GFOD2
0.001078716	OSBPL6
0.001078677	TNFRSF10B
0.001075893	KDM4A
0.001075861	SCMH1
0.001074103	KLHL6
0.001071948	ADAMTSL5
0.001071522	EPB41L4A
0.001070447	KCNA6
0.001064985	THAP4
0.001064784	SARAF
0.001060156	P0C0L4;P0C0L4-2
0.001056394	CD244
0.001053327	CLEC3B
0.001051873	FAM89A
0.001050702	SFXN1
0.001050137	PTPMT1
0.00104834	JAZF1
0.001044685	KCTD20
0.001044513	MRTFB
0.001044158	CD22
0.001042646	MLXIP
0.00103929	FXN
0.001039202	NBPF11
0.001039047	TRIM7
0.001037997	MOK
0.001035876	CEACAM4
0.001034865	FSBP
0.001033004	TRIM44
0.001030473	PHF12
0.001027947	AMT
0.001025252	P01700
0.001021418	CASS4
0.00101708	MRTO4
0.001016295	UCHL1
0.00101472	NELFCD
0.001012105	NDUFAF3
0.001011252	P06744;A0A2U3TZU2;A0A0A0MTS2;P06744-2;K7EQ48;A0A2R8Y6C7;A0A0J9YYH3;A0A0J9YXP8;A0A0J9YX90
0.001006896	IFT46
0.001005749	SLC16A3
0.001005472	RUBCNL
0.000998459	SLC6A4
0.000993212	THOC1
0.000989717	MYB
0.000988823	ZBTB7B
0.000988696	SLC16A7
0.00098735	POFUT1
0.000986362	OAF
0.000984462	MKI67
0.000978839	CD53
0.000977005	PLEKHG4
0.000976945	MIGA1
0.000971647	MAK16
0.000967257	EEF1AKMT3
0.000966868	RAD23B
0.0009665	KIF3C
0.00096585	CCT6B
0.000965023	P35858;P35858-2
0.000964589	REEP4
0.000963381	TTC27
0.000960569	SLC44A1
0.000957343	RBM12
0.000953508	CHST7
0.000953204	IQGAP1
0.000953113	LRBA
0.000947091	PRR29
0.000941669	Q9UNW1;Q9UNW1-3;Q9UNW1-2;Q9UNW1-4
0.000941467	AKIRIN2
0.00093838	SCAP
0.000938125	XRN1
0.000934592	ADA2
0.0009342	GNL1
0.000932109	CEPT1
0.000930479	ICAM2
0.000930386	ZNF664
0.000929112	CXCL16
0.0009283	SUCLG1
0.00092802	SLC36A4
0.000926156	JMJD7-PLA2G4B
0.000923449	SLC25A42
0.000919418	IDNK
0.00091921	FAM20A
0.000911973	PPP4R2
0.000910419	S1P d18:1_RT_10.744
0.000906513	P05160
0.000906218	ARHGEF4
0.000904679	ZNF319
0.000902796	RABL2A
0.000902627	ZBTB3
0.000900813	SLC5A5
0.000898736	LGALS3
0.000896762	SH2D3C
0.000896307	AMDHD1
0.000892184	TEX14
0.000891037	ZNF761
0.000890444	ARRB1
0.00089005	PITPNA
0.000889934	CCAR1
0.000888853	RPL15
0.000887871	NUDT14
0.000887413	IQCG
0.000886688	LBHD1
0.000885691	FCMR
0.000885377	FAM219A
0.000883507	ABCB11
0.000883501	CORO2A
0.000883412	DOCK2
0.000882083	IRAK2
0.00088179	CAMKK1
0.000881034	TGOLN2
0.000878013	SRPK1
0.000876918	SUSD2
0.000876795	UBA5
0.000876546	YPEL1
0.000875939	DUS2
0.000874965	SPTA1
0.000874416	SPDYE6
0.000871977	QSOX1
0.000871805	Plasmanyl-PC O-42:5_RT_24.541
0.000870603	SIN3B
0.000866855	MTRNR2L1
0.000861665	P02748
0.000860926	AKIP1
0.000859338	TTC9C
0.000856175	RSBN1
0.000855962	TG 16:0_18:0_18:0_RT_34.031
0.00085448	EED
0.000853622	CEP70
0.000852198	PCYT1A
0.000851628	SLC7A1
0.000851239	BRIX1
0.000850768	EDEM2
0.000849972	DAPK2
0.000848384	ZCWPW1
0.00084808	AKAP1
0.000847696	SELPLG
0.000847502	CYSTM1
0.00084583	TRMT61B
0.000843042	STIM2
0.000842744	RBPJ
0.000841688	CD68
0.000840092	FOSL2
0.000839634	PTCD3
0.000834537	NAB2
0.000834406	CYP4F22
0.000834308	C9JB55
0.000834005	ATP6V0B
0.000833671	ZNF649
0.000832675	SLC35A2
0.000829794	TTC12
0.000824028	CD55
0.000823823	MRPL9
0.000815238	ZBTB38
0.000814449	PPP1R32
0.000810902	GOLGA6C
0.000809561	ITGB2
0.000809149	ADK
0.0008089	ELP3
0.000806125	SEC24C
0.000803996	DHODH
0.000800085	SLC49A4
0.000799386	LPXN
0.000798532	FXR2
0.00079436	INTS6
0.000794032	TMF1
0.000792013	EPCAM
0.000790833	ARID1B
0.00078974	ARHGEF6
0.000785857	LMLN
0.000785654	TRIB1
0.000783256	DVL1
0.000780615	ATP11C
0.000776958	NCOA3
0.000775583	WBP11
0.000770995	LINGO3
0.000770433	PC O-35:3_RT_21.843
0.00076903	IFRD1
0.000766516	RANBP6
0.000766499	GALNS
0.000762005	ALG10B
0.000759952	PDIA3
0.000758009	DNPH1
0.000755745	SRSF4
0.000752466	DCUN1D2
0.000751481	MAP3K12
0.000748947	TSHR
0.000748182	SLC16A10
0.00074732	TRAF3IP1
0.000743973	ANKRD39
0.000743483	MCCC1
0.000742004	ARHGEF10L
0.000741476	LYVE1
0.000740092	ADAMTSL4
0.000738076	PAFAH1B1
0.000737921	TBC1D12
0.000736696	PHKG1
0.000736675	PDZK1IP1
0.000734742	CAPZB
0.000733404	COX6A1
0.000730765	FTO
0.000729815	CAMK2N1
0.00072923	STAT5A
0.000727863	CMTM8
0.000727754	TG 54:4_RT_31.88
0.00072735	PROC
0.000726251	MMP17
0.000722834	HHIPL1
0.000722834	MANBA
0.0007223	CSNK1A1L
0.00072118	ORC5
0.000718794	PIK3AP1
0.000718348	SOCS2
0.000717197	C1orf162
0.000715311	CDADC1
0.000714726	ST6GALNAC2
0.000714725	ADRA2A
0.000714568	TAB1
0.000713509	IFFO2
0.000712441	RBM39
0.000711335	PI 16:1_16:0_RT_19.774
0.000710847	ZNF251
0.000710415	DNAJB12
0.000710306	PLAAT2
0.000709557	NCBP2
0.000708301	PSMD13
0.000706559	KIF21B
0.000704057	C7orf25
0.000702138	HIP1R
0.000701535	BAZ1B
0.00069741	PRPF18
0.000695339	MORN4
0.000694992	CE 22:6_RT_31.117
0.000694658	ZNF438
0.000693611	DCTN6
0.000693538	RORA
0.000692627	BHMT2
0.00069255	ABI1
0.000692382	MREG
0.000692304	Plasmanyl-PC O-42:4_RT_25.492
0.000691495	PPAT
0.000687472	ZBTB46
0.000685076	UBE2G1
0.000685056	PRKCH
0.000683499	Cyclic AMP
0.000682719	PDPR
0.000682203	GGTA1P
0.00068146	TRIM65
0.000680904	RHBDD3
0.000680702	A0A024R6I7;A0A0G2JRN3
0.000680317	TIMM23B
0.000676316	NPIPB5
0.000672676	TMEM156
0.000670798	P4HTM
0.000669631	LAMA2
0.000667827	CDC23
0.000665429	TMED4
0.000665234	CTU1
0.000659808	PTTG1
0.000659663	GOLGA8K
0.000659539	ZNF862
0.000659469	NXPE3
0.000659453	DUSP16
0.000658624	NPC2
0.000658391	CDK20
0.000652026	TCOF1
0.000650527	ZNF384
0.000641891	EDN1
0.000641418	DPP7
0.000640853	RPUSD2
0.000639976	SAMD8
0.00063984	MARS2
0.000637517	SEPTIN4
0.000637359	C10orf105
0.000636315	TRIR
0.000634747	HIBCH
0.000633142	PDS5B
0.000632796	TMEM86A
0.000632135	P02679;C9JC84
0.000632102	GOLGA8H
0.000631953	PHIP
0.000631415	DHX33
0.000630511	FAM131A
0.000627753	CACNA2D3
0.000627523	COA6
0.000626388	MNAT1
0.000625689	O00391;O00391-2
0.00062436	AIFM1
0.000623703	HLA-DQA2
0.000621647	CE 16:0_RT_32.94
0.000621614	BCL11A
0.000621216	ARHGEF25
0.000621094	CREB1
0.000620583	SERINC5
0.000619897	NINJ2
0.000619541	RPS25
0.000619436	SRPK2
0.000618362	TAP2
0.000618203	DRAM1
0.000618203	FCRL2
0.00061672	PRIM2
0.000612557	RASAL2
0.000612313	DTD2
0.000612196	MCL1
0.000611898	BCAP29
0.000607049	GNB4
0.000606772	NUMBL
0.000606646	A0A0A0MT36
0.000605438	CCDC43
0.00060305	NR4A1
0.000601205	JAM3
0.000599442	C2orf69
0.000598827	PDIA6
0.000598461	Q9Y6R7;A0A087WXI2
0.000598089	ATXN7L3
0.000597259	IFT27
0.000595979	CIT
0.000595829	RINL
0.000595435	AP1M1
0.000594065	PI 38:6_RT_20.119
0.000593072	LCLAT1
0.000589797	ATP1B1
0.000583384	DHCR24
0.000583185	NOC3L
0.000581085	ADAMTS5
0.000580723	GOSR2
0.000576999	ITPR2
0.000576906	SETDB2
0.0005762	TCTEX1D2
0.000574506	NAP1L2
0.000573855	SYPL1
0.000573265	STRBP
0.00057241	UBL4A
0.000568586	NTSR1
0.000568503	STK39
0.000567707	PDLIM2
0.000567462	P24592;A0A3B3IUE0;F8VYK9
0.000564864	TRIM4
0.000564608	GNG11
0.000563117	IL9R
0.000562722	NFIA
0.000562573	GIMAP4
0.00055986	AQP10
0.000559145	CEP55
0.00055817	UNC45B
0.000557068	GOLGB1
0.000556789	MTCP1
0.000556395	FANCI
0.000554278	HOMER1
0.000549682	P09871;F8WCZ6;A0A087X232
0.000545772	CTBS
0.000542451	ELOVL5
0.000539523	PI 36:3_RT_20.661
0.000538761	C2orf15
0.000538717	CSTF2T
0.000537244	CFAP58
0.000537197	DERL3
0.000536723	ZNHIT2
0.000535455	P08567
0.000534701	2-hydroxy-3methylbutyric acid 2TMS RT8.150248
0.000534207	ZXDB
0.000532471	NKAPD1
0.000529133	DLG3
0.000528099	IFNGR2
0.00052685	FGF5
0.000526027	TNFSF15
0.000525265	Q14520-2;Q14520
0.000524104	C11orf49
0.000523685	SMC1A
0.000522117	QSOX2
0.000522032	ZNF426
0.000521687	PRDM15
0.000520243	ILK
0.000519533	SM d34:0_RT_21.47
0.000518811	DOK1
0.000518657	TAX1BP3
0.000518385	TLR10
0.000517645	PEX2
0.000516568	NEURL1B
0.000516423	CHST10
0.000516191	METRNL
0.000516039	ATP6V1G1
0.000514759	PRH1
0.000513388	POLR1G
0.000511872	PMF1
0.000510461	DNAAF4
0.000505213	SGMS2
0.000505176	LIN52
0.000502538	MS4A3
0.00050186	PI 16:0_18:0_RT_22.017
0.000500901	MGA
0.000500282	TMEM167A
0.000499668	PILRA
0.000498788	ARF5
0.000498663	RNF123
0.000497046	PAPOLG
0.000496957	P03950
0.000495429	COPA
0.000492281	NSG1
0.000489243	RUSF1
0.000489056	ZNF595
0.000486329	FBXW11
0.000486092	CEP44
0.000483351	LPAR5
0.000483276	SRM
0.000482655	TG 18:2_18:1_19:0_RT_33.03
0.000482276	HNRNPUL1
0.000481889	JADE1
0.000481889	RB1
0.000480285	SM d39:2_RT_23.197
0.000480214	MRPL41
0.000477386	J3KNB4;P49913
0.000473636	RIPK3
0.000473436	POP5
0.000472839	ATP6V0A2
0.000470834	C9JF17;P05090
0.000470731	TNFSF12
0.000470493	Plasmenyl-PC P-36:3_RT_22.761
0.000469405	TM9SF2
0.000469308	MICU3
0.000466291	CDKN1A
0.000463695	IRS2
0.000462643	VEGFB
0.000459605	TLN2
0.00045823	SPATC1
0.00045817	SLC4A7
0.000457778	PC 37:5_RT_21.269
0.000454827	ABTB1
0.000454591	RITA1
0.000453276	PA2G4
0.000452804	TMEM159
0.000450422	P01042-2;P01042-3
0.000450254	ERAP1
0.000449988	Plasmanyl-PC O-32:1_RT_22.112
0.000448273	PC 38:4_RT_23.223
0.000447894	CTAGE8
0.000447649	PPP1R26
0.000445651	THOC7
0.000439963	NEXN
0.000439812	MKKS
0.000439667	ZNF500
0.000438729	RBM43
0.000438493	TMEM88
0.000437767	SLC35A3
0.00043631	PC 36:6_RT_19.83
0.000435946	ACBD4
0.00043524	CABP5
0.000433042	EXT2
0.000432792	C22orf39
0.000432152	EFHC2
0.000431356	D6W5L6;P07988;H0Y7V6
0.00043045	SIK2
0.000430212	SPTB
0.000429697	NPIPB3
0.000427532	LEPR
0.000427442	FUT11
0.000427269	COL24A1
0.00042692	GPR132
0.000426914	ATP2A2
0.000425292	STOM
0.000425164	DOP1A
0.0004237	JMJD4
0.000423213	CNN2
0.00042261	TCEAL4
0.000422324	REEP2
0.000422113	GGA1
0.000419016	IPO11
0.000418493	PEX13
0.00041632	Plasmanyl-PC O-16:0_18:2_RT_22.48
0.000415681	DSN1
0.000413437	FAM174C
0.000413041	H1-10
0.000410488	SH3D21
0.000409127	SOGA3
0.000408857	TMEM147
0.000406853	DCTN3
0.000406355	PC 40:8_RT_20.931
0.000405944	ZNF567
0.000405393	PHC3
0.000404905	PIGQ
0.000403844	PDE6D
0.000403531	GAL3ST4
0.000402154	NIF3L1
0.000398382	C1QC
0.000396221	MRS2
0.000395573	LIPN
0.000395224	C12orf66
0.0003947	PHACTR4
0.000393717	DOK3
0.000393072	DALRD3
0.000392435	SOAT1
0.00039209	MED14OS
0.000391545	A0A075B6J9
0.000390383	TUBE1
0.000387876	DNAJC16
0.000386106	CD300LB
0.000384386	KRIT1
0.000384028	BACH2
0.000383186	ZKSCAN3
0.000382188	LysoPC 18:1_RT_12.593
0.000380349	GIGYF1
0.000379195	DOCK3
0.000377634	FKBP14
0.00037753	NT5C3A
0.000376668	ZNF433
0.000376101	MAP7D1
0.000375402	MME
0.00037384	ACKR3
0.000373477	RAB33B
0.00037324	ATG13
0.000372056	SPEF2
0.000371558	S100PBP
0.000370809	SKA1
0.000370511	ABCA13
0.000370173	KIF3B
0.000369562	CCNDBP1
0.000367499	CAPZA2
0.000367267	BRMS1
0.00036719	GYPB
0.000366088	TAOK1
0.000366057	ANK3
0.000364067	CREG2
0.000364067	STIM1
0.000363345	PTGFR
0.000363126	CDH2
0.00036077	KLHL23
0.000360401	ZCCHC7
0.000358839	PC 16:0_18:1_RT_22.556
0.000357363	NAA40
0.000357261	IGFBP7
0.000357259	ATP5MG
0.000357184	TGFB1
0.000357114	FBXO42
0.000356056	MMP8
0.000355976	ECI2
0.000355516	NCEH1
0.000355172	TPX2
0.000354227	CDH26
0.000353305	LOC102724488
0.000353083	GHRL
0.000352462	PDZD8
0.000351822	MORN2
0.000351677	WDR70
0.000351402	SEL1L3
0.000349913	SLC9A3R1
0.00034961	CNTNAP3B
0.000348406	DPF3
0.000347603	A0A087X1J7;P22352
0.000345028	IDH3B
0.000344192	SM d43:2_RT_25.206
0.000344081	PC O-42:6_RT_23.756
0.000343333	THUMPD3
0.000337641	PIWIL4
0.000335884	ROMO1
0.000335053	CRTAP
0.000334645	GALC
0.000331917	FAM185A
0.000331483	IGLC1
0.000329861	ABLIM3
0.000329727	LSS
0.000328141	A0A0A0MSI0;Q06830
0.000327892	RFC1
0.000326579	DIABLO
0.000325989	ECD
0.000324579	ARMC5
0.000323363	UBE2G2
0.00032173	DZIP1L
0.00032085	Plasmanyl-PC O-42:5_RT_25.61
0.00032001	UBE2S
0.000317673	FAM110D
0.000317655	C2orf81
0.000316765	P05543
0.00031656	ABTB2
0.000315346	P05154;G3V2M1
0.000313662	ITK
0.000313451	COX7A2
0.000313185	ANP32E
0.000312736	HESX1
0.0003118	ABCB7
0.000311152	A0A0G2JQJ0;A0A087WSZ0
0.00030935	TRIM2
0.000308137	KLF3
0.000307776	NKX3-1
0.000305777	OPRM1
0.000305577	COL19A1
0.000305515	PAXBP1
0.000304792	SAT1
0.000303322	SMS
0.000302883	LEMD3
0.00030254	SDHA
0.000302241	TTC26
0.000301841	HMG20A
0.000300985	STT3A
0.000300282	ATXN7L2
0.000300282	GUCD1
0.000299312	ZNF277
0.000299259	ARGFX
0.000299222	CTNNB1
0.000298726	GPAT3
0.000298443	C5orf22
0.000297717	GPI
0.000296081	SENP6
0.000295438	SIGLEC12
0.000294028	WDR24
0.000293067	CEBPB
0.000292627	ZNF589
0.000292387	LysoPC 15:0_RT_10.804
0.00029194	WNK1
0.000291649	P05121-2;P05121
0.000291039	PSMA2
0.000289689	CATIP
0.000289288	ZFAND3
0.000288896	TBC1D22A
0.000285756	DCLRE1A
0.000285756	RASSF1
0.000285459	CAMK2G
0.000285459	DNAJC4
0.000284548	ZNF175
0.000283947	TPD52L2
0.000283725	PTAFR
0.000283344	VWF
0.000282962	PLD4
0.000282809	DTX4
0.000281189	A0A0J9YX35
0.00028062	GCNA
0.000280282	GLOD4
0.000280171	SCN8A
0.000280006	CCDC150
0.000279993	ZNF391
0.000279344	A0A0C4DH34
0.000277403	RAPGEF2
0.000274977	GABARAPL1
0.000274057	DDX3Y
0.000270705	ZNF605
0.000269635	TTF2
0.000266825	EDA
0.000266647	RPL36AL
0.0002666	ZNF547
0.000265567	USP54
0.000263805	UGGT1
0.000262048	GOLGA8S
0.000261688	NDUFV3
0.000261505	NUDT1
0.000259363	MYO1G
0.000259059	ZNF346
0.000256047	P06576;H0YH81;F8W079
0.000255518	STIMATE
0.000254605	MTHFS
0.000254596	VAV2
0.00024944	ZNF706
0.000249156	USP42
0.000248241	OSTC
0.000246538	NT5DC3
0.000242467	BCLAF3
0.000242451	IGSF8
0.000240245	CINP
0.000240208	DIPK1A
0.00023952	EPHB3
0.000237714	PC 18:0_20:3_RT_23.305
0.000237499	GIMAP1
0.00023682	FAM32A
0.000235734	C6orf120
0.000234101	TBC1D25
0.000233139	GYPE
0.000232262	ASXL2
0.000228579	APOBEC3D
0.000224731	RUSC1
0.000222839	BMPR1A
0.000222442	P3H3
0.000222131	TRMT112
0.000219125	MAP3K7
0.00021886	SIT1
0.000218488	PHB2
0.000216472	ARL3
0.000216241	ELF4
0.000214445	BORCS8
0.000212665	PPIL6
0.000212145	KCNN2
0.000212142	TLCD5
0.000211821	PLXNA4
0.000208945	HPRT1
0.000208389	CPVL
0.000207142	TDRD7
0.000206253	CARM1
0.000201914	IL10
0.000200386	SSTR2
0.000199199	FPR3
0.000198955	SBF1
0.000198886	PDXK
0.000198312	WDFY3
0.000197435	ALKBH3
0.000195018	PTPN22
0.000194821	AAMDC
0.000194467	BHLHA15
0.000191909	GTF2H2C_2
0.000190997	EIF4G3
0.000189951	SFR1
0.000189831	L3HYPDH
0.000189791	KCTD11
0.000188247	TUFT1
0.000186112	P07195;A0A3B3IS95;A8MW50;C9J7H8
0.000185627	METTL23
0.000184349	MOSPD3
0.000184192	SLC16A6
0.000183767	ARMCX5-GPRASP2
0.000183279	BZW1
0.000182741	DDX50
0.000182609	P11226
0.000181973	LANCL3
0.00018186	OARD1
0.000181808	CIBAR1
0.000181083	HID1
0.000177221	ZNF799
0.000177183	SPRING1
0.000177183	STRIP2
0.000175642	ATP8B3
0.000175143	RNASEH2B
0.000173541	SUGP1
0.000173507	RNA28SN3
0.000170473	MVK
0.000170235	GMPPA
0.00016897	GPATCH1
0.000165371	GABBR1
0.000165228	SCAND1
0.000165016	HEXB
0.000164448	ZBTB48
0.000164121	MYEF2
0.000162212	GSG1
0.000162075	CFAP92
0.000157611	C3
0.000156127	NLRP6
0.000155039	HLA-DQA1
0.000154996	DDX11
0.000152596	MMP25
0.000152407	MAU2
0.000151687	BSCL2
0.000151504	ATP10A
0.000150329	LRG1
0.000150171	LysoPC 20:2_RT_12.854
0.00014778	PER2
0.000143557	CTDSPL
0.000142092	MYO18A
0.000141746	CDCA3
0.000139967	ASPH
0.000139213	CBWD3
0.000139051	TMEM183A
0.000138594	TP53I13
0.000135679	NME4
0.000134441	CTDSP1
0.000132784	ADPRM
0.000132465	TAF9B
0.000131405	KLF4
0.000130252	SETD2
0.000130092	DEFA4
0.000129841	NPIPA2
0.000129049	NSMCE2
0.000127999	ZBP1
0.000127223	ZNF835
0.000126634	ZNF763
0.000120709	HSF5
0.000120664	CARMIL1
0.00012046	RPS24
0.000120168	ZNF766
0.00011943	ERFE
0.000117023	PLCD3
0.000115536	HDHD3
0.000114752	DDRGK1
0.000112747	C1orf54
0.000111008	PARD6A
0.000110822	ISY1
0.000110582	PCDH1
0.000108792	DLEU7
0.000107895	ARHGAP18
0.000107752	SARS2
0.000104884	HELQ
0.000103476	NPAT
0.00010163	OCIAD2
0.000100776	GLRX2
0.000100107	SVIL
1.00E-04	TRO
9.94E-05	HOXA10
9.71E-05	ZNF845
9.50E-05	GZMH
9.49E-05	LPCAT3
9.29E-05	BEGAIN
9.09E-05	CYTIP
9.01E-05	SNX9
8.84E-05	STT3B
8.79E-05	JARID2
8.78E-05	DG 14:0_18:2_RT_23.192
8.58E-05	Plasmenyl-PC P-20:0_20:4_RT_23.628
8.43E-05	SLC39A4
